"Class","Band1","Band2","Band3","Band4","Band5","Band6","Band7","Band8","Band9","Band10","Band11","Band12"
"clover",6.39999,2.89999,3.39999,4.10001,7.8,4.2,5.5,15.3,13.2,7.5,-35.1,-24.8
"clover",4.39999,4.89999,2.39999,6.10001,9.8,4.2,2.5,16.3,12.2,8.5,-36.1,-22.8
"clover",6.39999,2.89999,3.39999,4.10001,7.8,5.2,5.5,13.3,13.2,6.5,-26.1,-16.8
"clover",6.39999,3.89999,3.39999,6.10001,8.8,5.2,4.5,14.3,13.2,7.5,-36.1,-20.8
"clover",5.39999,6.89999,4.39999,7.10001,10.8,5.2,6.5,17.3,17.2,10.5,-37.1,-20.8
"clover",6.39999,4.89999,4.39999,6.10001,11.8,4.2,5.5,17.3,15.2,10.5,-38.1,-22.8
"clover",4.39999,4.89999,5.39999,7.10001,8.8,2.2,5.5,18.3,15.2,7.5,-37.1,-25.8
"clover",7.39999,4.89999,5.39999,6.10001,9.8,5.2,6.5,15.3,17.2,8.5,-38.1,-25.8
"clover",6.39999,5.89999,3.39999,5.10001,9.8,4.2,4.5,15.3,17.2,8.5,-44.1,-25.8
"clover",7.39999,4.89999,5.39999,5.10001,10.8,4.2,3.5,15.3,16.2,6.5,-34.1,-21.8
"clover",6.39999,5.89999,4.39999,6.10001,10.8,4.2,4.5,16.3,16.2,8.5,-47.1,-32.8
"clover",6.39999,6.89999,4.39999,6.10001,10.8,4.2,6.5,17.3,15.2,8.5,-38.1,-23.8
"clover",5.39999,6.89999,5.39999,5.10001,8.8,4.2,6.5,15.3,15.2,7.5,-40.1,-21.8
"clover",9.39999,5.89999,6.39999,7.10001,12.8,5.2,5.5,16.3,17.2,9.5,-37.1,-31.8
"clover",7.39999,5.89999,5.39999,6.10001,10.8,4.2,4.5,15.3,16.2,9.5,-41.1,-27.8
"rye",-0.60001,-0.10001,-1.60001,-4.89999,-10.2,-7.8,-6.5,-17.7,-12.8,-12.5,18.9,10.2
"rye",-0.60001,-8.10001,-3.60001,-5.89999,-10.2,-10.8,-6.5,-18.7,-14.8,-13.5,22.9,12.2
"rye",-0.60001,-3.10001,-3.60001,-4.89999,-7.2,-8.8,-8.5,-13.7,-11.8,-10.5,8.89999,4.2
"rye",-0.60001,-4.10001,-5.60001,-6.89999,-11.2,-12.8,-10.5,-21.7,-16.8,-16.5,17.9,10.2
"rye",-1.60001,-4.10001,-7.60001,-6.89999,-13.2,-9.8,-7.5,-20.7,-15.8,-13.5,12.9,13.2
"rye",1.39999,-0.10001,-2.60001,-2.89999,-11.2,-9.8,-8.5,-18.7,-13.8,-14.5,8.89999,9.2
"rye",-0.60001,-7.10001,-5.60001,-3.89999,-15.2,-11.8,-8.5,-20.7,-15.8,-13.5,18.9,12.2
"rye",-0.60001,-4.10001,-3.60001,-3.89999,-10.2,-8.8,-5.5,-16.7,-12.8,-12.5,24.9,9.2
"rye",-1.60001,-3.10001,-4.60001,-5.89999,-13.2,-10.8,-8.5,-21.7,-14.8,-14.5,12.9,13.2
"rye",-6.60001,-6.10001,-5.60001,-6.89999,-16.2,-12.8,-10.5,-21.7,-17.8,-18.5,15.9,11.2
"rye",-0.60001,-4.10001,-5.60001,-4.89999,-13.2,-9.8,-8.5,-20.7,-16.8,-13.5,18.9,11.2
"rye",-7.60001,-9.10001,-5.60001,-8.89999,-15.2,-14.8,-6.5,-20.7,-17.8,-14.5,22.9,10.2
"rye",-4.60001,-8.10001,-5.60001,-6.89999,-14.2,-12.8,-8.5,-16.7,-15.8,-13.5,20.9,11.2
"rye",-1.60001,-4.10001,-6.60001,-5.89999,-12.2,-9.8,-10.5,-16.7,-17.8,-11.5,17.9,12.2
"rye",-5.60001,-10.1,-7.60001,-10.9,-18.2,-14.8,-14.5,-26.7,-24.8,-23.5,15.9,8.2
"rye",-4.60001,-8.10001,-6.60001,-6.89999,-15.2,-10.8,-8.5,-23.7,-17.8,-16.5,20.9,17.2
"rye",0.399994,-4.10001,-2.60001,-5.89999,-14.2,-11.8,-7.5,-18.7,-19.8,-13.5,15.9,5.2
"rye",-4.60001,-10.1,-5.60001,-8.89999,-17.2,-15.8,-10.5,-25.7,-23.8,-19.5,18.9,13.2
"rye",-0.60001,-5.10001,-5.60001,-6.89999,-12.2,-10.8,-7.5,-19.7,-17.8,-12.5,21.9,13.2
"rye",-1.60001,-6.10001,-6.60001,-6.89999,-16.2,-11.8,-11.5,-22.7,-22.8,-20.5,18.9,11.2
"rye",-5.60001,-11.1,-8.60001,-9.89999,-18.2,-13.8,-12.5,-26.7,-24.8,-22.5,15.9,12.2
"rye",-1.60001,-5.10001,-5.60001,-4.89999,-12.2,-9.8,-10.5,-20.7,-16.8,-14.5,20.9,12.2
"rye",-4.60001,-8.10001,-4.60001,-5.89999,-14.2,-11.8,-8.5,-19.7,-19.8,-18.5,20.9,12.2
"rye",-1.60001,-9.10001,-3.60001,-5.89999,-13.2,-9.8,-7.5,-20.7,-19.8,-17.5,20.9,16.2
"rye",-0.60001,-1.10001,-3.60001,-3.89999,-10.2,-7.8,-10.5,-17.7,-15.8,-12.5,10.9,13.2
"rye",-1.60001,-6.10001,-5.60001,-6.89999,-13.2,-12.8,-11.5,-23.7,-21.8,-17.5,19.9,12.2
"rye",0.399994,-4.10001,-3.60001,-4.89999,-12.2,-10.8,-9.5,-17.7,-16.8,-15.5,10.9,12.2
"rye",0.399994,-5.10001,-4.60001,-4.89999,-8.2,-10.8,-8.5,-21.7,-18.8,-14.5,16.9,13.2
"rye",0.399994,-3.10001,-3.60001,-3.89999,-11.2,-7.8,-6.5,-16.7,-14.8,-9.5,22.9,9.2
"rye",-1.60001,-4.10001,-4.60001,-5.89999,-7.2,-10.8,-9.5,-21.7,-17.8,-14.5,15.9,12.2
"rye",0.399994,-2.10001,-3.60001,-3.89999,-10.2,-9.8,-8.5,-17.7,-13.8,-13.5,14.9,11.2
"rye",0.399994,-0.10001,-3.60001,-2.89999,-11.2,-5.8,-7.5,-15.7,-11.8,-11.5,13.9,12.2
"rye",-1.60001,-3.10001,-4.60001,-4.89999,-9.2,-7.8,-6.5,-16.7,-11.8,-12.5,15.9,11.2
"rye",1.39999,-4.10001,-2.60001,-5.89999,-9.2,-7.8,-7.5,-18.7,-15.8,-12.5,21.9,11.2
"rye",3.39999,-3.10001,-2.60001,-4.89999,-10.2,-6.8,-4.5,-15.7,-13.8,-9.5,19.9,13.2
"rye",0.399994,-5.10001,-2.60001,-7.89999,-11.2,-12.8,-10.5,-19.7,-18.8,-16.5,16.9,9.2
"rye",-0.60001,-2.10001,-4.60001,-5.89999,-11.2,-5.8,-8.5,-19.7,-16.8,-13.5,16.9,14.2
"rye",1.39999,-1.10001,-2.60001,-4.89999,-8.2,-6.8,-7.5,-16.7,-11.8,-9.5,17.9,13.2
"rye",0.399994,-2.10001,-3.60001,-6.89999,-12.2,-8.8,-7.5,-21.7,-18.8,-14.5,18.9,14.2
"rye",-1.60001,-3.10001,-4.60001,-5.89999,-15.2,-8.8,-8.5,-18.7,-15.8,-12.5,14.9,9.2
"rye",0.399994,-1.10001,-2.60001,-2.89999,-11.2,-5.8,-6.5,-13.7,-11.8,-11.5,18.9,14.2
"rye",-3.60001,-4.10001,-5.60001,-5.89999,-10.2,-10.8,-8.5,-17.7,-16.8,-13.5,18.9,12.2
"rye",-0.60001,-4.10001,-4.60001,-4.89999,-11.2,-7.8,-7.5,-16.7,-10.8,-9.5,19.9,13.2
"rye",-1.60001,-2.10001,-4.60001,-2.89999,-7.2,-9.8,-8.5,-13.7,-12.8,-9.5,13.9,12.2
"rye",0.399994,-1.10001,-2.60001,-4.89999,-10.2,-8.8,-6.5,-18.7,-15.8,-12.5,18.9,9.2
"rye",-1.60001,-4.10001,-3.60001,-5.89999,-10.2,-7.8,-8.5,-16.7,-13.8,-11.5,15.9,12.2
"rye",0.399994,-2.10001,-1.60001,-2.89999,-8.2,-6.8,-5.5,-13.7,-13.8,-9.5,22.9,16.2
"rye",-1.60001,-5.10001,-7.60001,-4.89999,-10.2,-8.8,-10.5,-22.7,-16.8,-14.5,17.9,11.2
"rye",-2.60001,-2.10001,-4.60001,-5.89999,-9.2,-6.8,-7.5,-14.7,-13.8,-10.5,14.9,13.2
"rye",-1.60001,0.899994,-3.60001,-4.89999,-10.2,-7.8,-6.5,-16.7,-11.8,-8.5,19.9,13.2
"rye",0.399994,-7.10001,-2.60001,-5.89999,-12.2,-9.8,-7.5,-18.7,-16.8,-14.5,14.9,9.2
"rye",0.399994,-2.10001,-1.60001,-5.89999,-7.2,-5.8,-5.5,-14.7,-12.8,-8.5,17.9,12.2
"rye",-2.60001,-6.10001,-6.60001,-4.89999,-14.2,-10.8,-9.5,-22.7,-19.8,-16.5,20.9,14.2
"rye",-0.60001,-4.10001,-4.60001,-5.89999,-12.2,-8.8,-8.5,-16.7,-14.8,-12.5,16.9,13.2
"rye",0.399994,-4.10001,-2.60001,-4.89999,-10.2,-8.8,-7.5,-15.7,-13.8,-7.5,17.9,12.2
"rye",2.39999,-6.10001,-3.60001,-4.89999,-10.2,-7.8,-6.5,-19.7,-18.8,-14.5,23.9,14.2
"rye",1.39999,-0.10001,-1.60001,-1.89999,-8.2,-4.8,-4.5,-10.7,-7.8,-4.5,23.9,12.2
"rye",-0.60001,-2.10001,-1.60001,-4.89999,-9.2,-5.8,-5.5,-14.7,-11.8,-10.5,22.9,11.2
"rye",-3.60001,-1.10001,-5.60001,-5.89999,-13.2,-8.8,-7.5,-18.7,-16.8,-13.5,22.9,13.2
"rye",2.39999,-0.10001,-4.60001,-3.89999,-7.2,-6.8,-8.5,-11.7,-13.8,-12.5,17.9,12.2
"rye",-3.60001,-3.10001,-7.60001,-4.89999,-11.2,-8.8,-8.5,-18.7,-14.8,-11.5,20.9,12.2
"soy",-3.60001,-2.10001,0.399994,0.100006,-0.2,4.2,2.5,4.3,1.2,7.5,22.9,17.2
"soy",-3.60001,-1.10001,0.399994,-0.89999,1.8,2.2,1.5,4.3,3.2,7.5,21.9,14.2
"soy",-2.60001,-0.10001,-1.60001,1.10001,1.8,2.2,2.5,3.3,2.2,7.5,18.9,16.2
"soy",-2.60001,-2.10001,-0.60001,0.100006,1.8,3.2,2.5,5.3,2.2,6.5,19.9,13.2
"soy",-2.60001,-0.10001,-0.60001,0.100006,3.8,3.2,1.5,3.3,2.2,4.5,23.9,12.2
"soy",-10.6,-6.10001,-5.60001,-6.89999,-8.2,-5.8,-4.5,-4.7,-3.8,-1.5,9.89999,14.2
"soy",-11.6,-8.10001,-5.60001,-5.89999,-9.2,-4.8,-1.5,-1.7,1.2,2.5,10.9,12.2
"soy",-10.6,-6.10001,-4.60001,-4.89999,-9.2,-4.8,-1.5,-2.7,-2.8,2.5,23.9,13.2
"soy",-9.60001,-10.1,-4.60001,-3.89999,-8.2,-3.8,-3.5,-1.7,-3.8,1.5,15.9,11.2
"soy",-9.60001,-9.10001,-4.60001,-2.89999,-6.2,-3.8,-3.5,-2.7,-4.8,2.5,14.9,13.2
"soy",-10.6,-6.10001,-5.60001,-4.89999,-5.2,-4.8,-0.5,-4.7,-0.8,2.5,16.9,13.2
"soy",-7.60001,-8.10001,-3.60001,-4.89999,-6.2,-4.8,-1.5,-2.7,-2.8,2.5,21.9,13.2
"soy",-11.6,-7.10001,-6.60001,-3.89999,-8.2,-3.8,-2.5,-3.7,-1.8,2.5,19.9,13.2
"soy",-6.60001,-8.10001,-5.60001,-4.89999,-6.2,-2.8,-1.5,-2.7,-0.8,3.5,13.9,20.2
"soy",-6.60001,-7.10001,-1.60001,-3.89999,-4.2,-1.8,0.5,-0.7,-0.8,5.5,17.9,12.2
"soy",-9.60001,-7.10001,-5.60001,-3.89999,-8.2,-2.8,-1.5,-2.7,-0.8,2.5,19.9,11.2
"soy",-8.60001,-6.10001,-6.60001,-1.89999,-7.2,-3.8,-2.5,-0.7,-1.8,2.5,17.9,14.2
"soy",-10.6,-7.10001,-4.60001,-5.89999,-8.2,-4.8,-1.5,-1.7,-2.8,3.5,19.9,8.2
"soy",-8.60001,-7.10001,-3.60001,-3.89999,-6.2,-2.8,0.5,-1.7,-1.8,4.5,18.9,16.2
"soy",-7.60001,-5.10001,-4.60001,-2.89999,-5.2,-1.8,-0.5,-0.7,-0.8,3.5,18.9,15.2
"soy",-8.60001,-5.10001,-4.60001,-3.89999,-5.2,-2.8,-1.5,1.3,0.199997,2.5,18.9,13.2
"soy",-7.60001,-6.10001,-2.60001,-2.89999,-5.2,-2.8,-1.5,-0.7,0.199997,2.5,19.9,17.2
"soy",-8.60001,-2.10001,-0.60001,-3.89999,-2.2,-1.8,0.5,0.300003,2.2,5.5,22.9,12.2
"soy",-9.60001,-5.10001,-5.60001,-2.89999,-6.2,-1.8,-0.5,-1.7,-0.8,3.5,19.9,12.2
"soy",-7.60001,-6.10001,-3.60001,-2.89999,-4.2,-2.8,-0.5,0.300003,-0.8,3.5,19.9,14.2
"soy",-5.60001,-8.10001,-2.60001,-2.89999,-4.2,0.199997,1.5,1.3,2.2,7.5,21.9,16.2
"soy",-5.60001,-5.10001,-0.60001,-2.89999,-4.2,-1.8,1.5,1.3,0.199997,7.5,23.9,15.2
"soy",-7.60001,-5.10001,-4.60001,-3.89999,-4.2,-2.8,-0.5,1.3,1.2,6.5,19.9,13.2
"soy",-9.60001,-7.10001,-3.60001,-4.89999,-3.2,-1.8,0.5,-0.7,0.199997,4.5,24.9,17.2
"soy",-6.60001,-4.10001,-2.60001,-1.89999,-5.2,-1.8,-0.5,2.3,3.2,8.5,21.9,13.2
"soy",-7.60001,-6.10001,-1.60001,0.100006,-2.2,-0.8,1.5,1.3,3.2,8.5,16.9,16.2
"soy",-4.60001,-4.10001,-1.60001,-0.89999,-3.2,-1.8,0.5,4.3,2.2,6.5,16.9,14.2
"soy",-5.60001,-5.10001,-2.60001,-2.89999,-4.2,-1.8,0.5,2.3,5.2,8.5,20.9,12.2
"soy",-7.60001,-5.10001,-2.60001,-2.89999,-4.2,-1.8,-0.5,-0.7,-1.8,4.5,19.9,13.2
"soy",-4.60001,-3.10001,-1.60001,-2.89999,-3.2,-0.8,2.5,4.3,5.2,10.5,7.89999,14.2
"soy",-6.60001,-6.10001,-3.60001,-2.89999,-5.2,-0.8,-0.5,-0.7,-0.8,3.5,21.9,18.2
"soy",-5.60001,-4.10001,0.399994,0.100006,-3.2,1.2,0.5,10.3,4.2,10.5,17.9,11.2
"soy",-5.60001,-6.10001,-2.60001,-3.89999,-7.2,-1.8,-1.5,-2.7,-1.8,4.5,20.9,16.2
"soy",-5.60001,-4.10001,-3.60001,-2.89999,-1.2,-0.8,-2.5,5.3,3.2,8.5,20.9,14.2
"soy",-7.60001,-6.10001,-2.60001,-1.89999,-4.2,-0.8,0.5,2.3,5.2,7.5,17.9,12.2
"soy",-5.60001,-4.10001,-1.60001,-2.89999,-1.2,-0.8,0.5,3.3,3.2,7.5,18.9,13.2
"soy",-7.60001,-4.10001,-3.60001,-1.89999,-3.2,-1.8,-1.5,2.3,1.2,6.5,19.9,18.2
"soy",-6.60001,-7.10001,-2.60001,-2.89999,-3.2,-1.8,-1.5,0.300003,1.2,6.5,16.9,13.2
"soy",-8.60001,-9.10001,-5.60001,-4.89999,-9.2,-2.8,-1.5,-4.7,-5.8,-1.5,26.9,22.2
"soy",-8.60001,-8.10001,-4.60001,-6.89999,-8.2,-1.8,-1.5,-5.7,-7.8,-1.5,33.9,24.2
"soy",-8.60001,-9.10001,-6.60001,-3.89999,-6.2,-2.8,-2.5,-6.7,-8.8,-1.5,25.9,19.2
"soy",-7.60001,-10.1,-3.60001,-3.89999,-3.2,-3.8,-2.5,-7.7,-7.8,-1.5,23.9,21.2
"soy",-10.6,-8.10001,-3.60001,-5.89999,-6.2,-2.8,-1.5,-4.7,-5.8,1.5,30.9,19.2
"soy",-5.60001,-7.10001,-3.60001,-5.89999,-8.2,-2.8,-1.5,-6.7,-8.8,-1.5,29.9,19.2
"soy",-7.60001,-9.10001,-2.60001,-5.89999,-7.2,-2.8,-1.5,-5.7,-5.8,-0.5,27.9,17.2
"soy",-8.60001,-6.10001,-7.60001,-3.89999,-6.2,-2.8,-1.5,-2.7,-3.8,1.5,23.9,17.2
"soy",-9.60001,-7.10001,-7.60001,-5.89999,-6.2,-5.8,-3.5,-6.7,-7.8,-2.5,26.9,14.2
"soy",-7.60001,-7.10001,-5.60001,-4.89999,-5.2,-1.8,-2.5,-6.7,-7.8,-1.5,28.9,21.2
"soy",-7.60001,-5.10001,-3.60001,-3.89999,-5.2,-1.8,-1.5,-1.7,-1.8,2.5,24.9,19.2
"soy",-5.60001,-8.10001,-3.60001,-3.89999,-8.2,-2.8,-1.5,-5.7,-5.8,1.5,29.9,20.2
"soy",-8.60001,-8.10001,-4.60001,-2.89999,-9.2,-3.8,-1.5,-6.7,-6.8,-2.5,29.9,17.2
"soy",-4.60001,-6.10001,-2.60001,-1.89999,-2.2,2.2,2.5,2.3,3.2,6.5,27.9,20.2
"soy",-4.60001,-5.10001,-1.60001,-1.89999,-6.2,-0.8,1.5,-0.7,-1.8,3.5,20.9,22.2
"soy",-12.6,-11.1,-8.60001,-5.89999,-9.2,-6.8,-5.5,-11.7,-9.8,-2.5,17.9,15.2
"soy",-9.60001,-7.10001,-5.60001,-3.89999,-5.2,-3.8,-1.5,-1.7,-2.8,0.5,20.9,12.2
"soy",-4.60001,-4.10001,-2.60001,-0.89999,-1.2,1.2,1.5,1.3,1.2,6.5,23.9,15.2
"wheat",8.39999,3.89999,1.39999,-0.89999,-0.2,5.2,-0.5,-10.7,-15.8,-10.5,33.9,18.2
"wheat",8.39999,3.89999,1.39999,-0.89999,-0.2,5.2,-0.5,-8.7,-14.8,-11.5,37.9,22.2
"wheat",5.39999,2.89999,1.39999,-0.89999,-0.2,5.2,-0.5,-7.7,-14.8,-8.5,31.9,21.2
"wheat",7.39999,4.89999,1.39999,-1.89999,3.8,3.2,-1.5,-13.7,-17.8,-14.5,33.9,17.2
"wheat",8.39999,7.89999,3.39999,0.100006,0.800003,6.2,0.5,-11.7,-13.8,-11.5,26.9,19.2
"wheat",7.39999,5.89999,2.39999,-0.89999,3.8,5.2,-0.5,-10.7,-17.8,-13.5,29.9,20.2
"wheat",9.39999,4.89999,2.39999,0.100006,2.8,5.2,1.5,-10.7,-16.8,-12.5,25.9,21.2
"wheat",6.39999,3.89999,0.399994,-1.89999,-0.2,5.2,-0.5,-9.7,-15.8,-13.5,31.9,18.2
"wheat",8.39999,5.89999,3.39999,0.100006,2.8,4.2,1.5,-11.7,-16.8,-12.5,36.9,21.2
"wheat",10.4,3.89999,1.39999,-1.89999,-2.2,1.2,0.5,-13.7,-18.8,-14.5,31.9,15.2
"wheat",6.39999,4.89999,-0.60001,-1.89999,0.800003,3.2,-1.5,-11.7,-17.8,-15.5,28.9,17.2
"wheat",6.39999,2.89999,-1.60001,-2.89999,-1.2,4.2,-2.5,-13.7,-17.8,-14.5,30.9,20.2
"wheat",9.39999,5.89999,2.39999,0.100006,1.8,7.2,2.5,-8.7,-12.8,-9.5,34.9,20.2
"wheat",9.39999,3.89999,2.39999,-0.89999,-1.2,4.2,0.5,-13.7,-18.8,-13.5,24.9,21.2
"wheat",6.39999,4.89999,0.399994,-1.89999,0.800003,4.2,-2.5,-9.7,-18.8,-14.5,25.9,18.2
"wheat",8.39999,2.89999,-1.60001,-0.89999,0.800003,2.2,-1.5,-11.7,-16.8,-16.5,28.9,19.2
"wheat",6.39999,2.89999,-0.60001,-0.89999,-0.2,4.2,-0.5,-14.7,-18.8,-16.5,28.9,14.2
"wheat",4.39999,-0.10001,-1.60001,-0.89999,-2.2,3.2,-0.5,-12.7,-18.8,-13.5,28.9,19.2
"wheat",4.39999,-0.10001,-1.60001,-1.89999,0.800003,2.2,-1.5,-12.7,-17.8,-13.5,26.9,20.2
"wheat",6.39999,3.89999,-1.60001,-0.89999,-1.2,2.2,-1.5,-15.7,-19.8,-15.5,29.9,20.2
"wheat",4.39999,2.89999,-1.60001,-0.89999,-1.2,3.2,-1.5,-11.7,-15.8,-16.5,20.9,12.2
"wheat",2.39999,1.89999,0.399994,-0.89999,-4.2,1.2,-1.5,-13.7,-18.8,-18.5,25.9,12.2
"wheat",5.39999,3.89999,0.399994,-2.89999,-1.2,1.2,-3.5,-16.7,-19.8,-20.5,22.9,10.2
"wheat",4.39999,1.89999,-0.60001,-1.89999,1.8,2.2,-2.5,-14.7,-17.8,-16.5,19.9,7.2
"wheat",5.39999,2.89999,-0.60001,-2.89999,0.800003,1.2,-1.5,-12.7,-20.8,-17.5,21.9,6.2
"wheat",2.39999,-1.10001,-0.60001,-1.89999,-2.2,0.199997,-2.5,-14.7,-18.8,-20.5,26.9,11.2
"wheat",4.39999,0.899994,0.399994,0.100006,-2.2,2.2,-0.5,-12.7,-17.8,-15.5,21.9,9.2
"wheat",2.39999,-1.10001,-0.60001,-0.89999,-3.2,0.199997,-2.5,-13.7,-16.8,-14.5,14.9,13.2
"wheat",5.39999,-0.10001,1.39999,-2.89999,-1.2,0.199997,-4.5,-13.7,-22.8,-18.5,20.9,13.2
"wheat",5.39999,4.89999,0.399994,0.100006,-0.2,2.2,-0.5,-12.7,-15.8,-15.5,23.9,9.2
"wheat",4.39999,-0.10001,-0.60001,0.100006,-2.2,3.2,-1.5,-13.7,-18.8,-17.5,21.9,10.2
"wheat",7.39999,3.89999,0.399994,-0.89999,1.8,3.2,-1.5,-11.7,-16.8,-15.5,23.9,10.2
"wheat",5.39999,4.89999,-0.60001,1.10001,1.8,4.2,0.5,-8.7,-11.8,-12.5,17.9,10.2
"wheat",4.39999,2.89999,2.39999,1.10001,0.800003,5.2,0.5,-13.7,-15.8,-17.5,19.9,10.2
"wheat",8.39999,2.89999,4.39999,4.10001,2.8,5.2,0.5,-8.7,-16.8,-11.5,24.9,6.2
"wheat",4.39999,3.89999,0.399994,-1.89999,0.800003,3.2,-1.5,-13.7,-18.8,-16.5,17.9,13.2
"wheat",6.39999,3.89999,1.39999,1.10001,1.8,2.2,-1.5,-11.7,-14.8,-12.5,23.9,6.2
"wheat",3.39999,1.89999,0.399994,-0.89999,-3.2,2.2,-1.5,-10.7,-18.8,-14.5,23.9,12.2
"wheat",5.39999,2.89999,1.39999,-0.89999,1.8,3.2,-1.5,-10.7,-16.8,-15.5,24.9,12.2
"wheat",5.39999,2.89999,-1.60001,-1.89999,-1.2,2.2,-1.5,-10.7,-16.8,-15.5,22.9,13.2
"wheat",2.39999,0.899994,0.399994,-0.89999,-2.2,2.2,-2.5,-13.7,-16.8,-18.5,22.9,11.2
"wheat",7.39999,2.89999,2.39999,-1.89999,-2.2,3.2,-0.5,-13.7,-19.8,-20.5,29.9,9.2
"wheat",2.39999,1.89999,0.399994,-2.89999,-2.2,-0.8,-3.5,-17.7,-23.8,-24.5,25.9,7.2
"wheat",3.39999,2.89999,-1.60001,-2.89999,-2.2,-0.8,-2.5,-15.7,-19.8,-20.5,19.9,12.2
"wheat",2.39999,-2.10001,-0.60001,-4.89999,-7.2,1.2,-2.5,-16.7,-21.8,-19.5,21.9,13.2
"wheat",3.39999,2.89999,-0.60001,-1.89999,-1.2,0.199997,-1.5,-13.7,-16.8,-14.5,21.9,7.2
"wheat",4.39999,-2.10001,-0.60001,-2.89999,-3.2,-0.8,-2.5,-16.7,-21.8,-19.5,21.9,12.2
"wheat",3.39999,-0.10001,-3.60001,-2.89999,-5.2,1.2,-3.5,-13.7,-17.8,-19.5,15.9,12.2
"wheat",3.39999,-1.10001,-1.60001,-2.89999,-4.2,1.2,-4.5,-14.7,-20.8,-16.5,22.9,15.2
"wheat",4.39999,-0.10001,-0.60001,-1.89999,-2.2,1.2,-0.5,-12.7,-18.8,-17.5,23.9,10.2
"wheat",3.39999,-3.10001,-1.60001,-3.89999,-7.2,-0.8,-2.5,-15.7,-20.8,-19.5,22.9,8.2
"wheat",3.39999,-0.10001,-1.60001,-2.89999,-4.2,0.199997,-3.5,-16.7,-19.8,-14.5,24.9,14.2
"wheat",-2.60001,-4.10001,-3.60001,-2.89999,-7.2,-0.8,-5.5,-16.7,-20.8,-19.5,23.9,17.2
"wheat",3.39999,-0.10001,0.399994,-1.89999,-4.2,0.199997,-2.5,-17.7,-21.8,-20.5,24.9,12.2
"wheat",-1.60001,-2.10001,-0.60001,-1.89999,-2.2,0.199997,-1.5,-14.7,-18.8,-18.5,21.9,11.2
"wheat",1.39999,-0.10001,-3.60001,-1.89999,-4.2,2.2,-2.5,-14.7,-18.8,-18.5,15.9,13.2
"wheat",-5.60001,-4.10001,-2.60001,-1.89999,-4.2,1.2,-4.5,-10.7,-16.8,-16.5,20.9,14.2
"wheat",4.39999,0.899994,-0.60001,-2.89999,-2.2,0.199997,-2.5,-15.7,-19.8,-16.5,18.9,13.2
"wheat",3.39999,6.89999,3.39999,3.10001,5.8,7.2,3.5,-6.7,2.2,-8.5,17.9,13.2
"wheat",2.39999,-0.10001,-1.60001,-2.89999,-4.2,3.2,-3.5,-12.7,-18.8,-18.5,19.9,12.2
